Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus_Minus
Dalen Terry,CHI,22,65,28,37,840.4,291,107,229,46.7,32,85,37.6,45,65,69.2,35,67,102,82,45,36,14,98,641,0,0,-165
Quinten Post,GSW,25,33,20,13,556.4,287,105,222,47.3,62,141,44,15,19,78.9,31,96,127,47,26,15,17,69,580,0,0,28
Marcus Smart,WAS,31,31,17,14,628.2,286,95,242,39.3,47,136,34.6,49,64,76.6,18,49,67,105,52,37,9,51,610,0,0,39
Jonathan Mogbo,TOR,23,53,13,40,982.7,282,110,252,43.7,14,50,28,48,69,69.6,87,147,234,92,49,41,26,109,853,0,0,-237
Sandro Mamukelashvili,SAS,25,49,20,29,458.5,280,101,192,52.6,47,114,41.2,31,42,73.8,43,89,132,31,18,17,14,42,560,0,0,45
Aaron Holiday,HOU,28,53,33,20,670.8,279,95,222,42.8,56,146,38.4,33,40,82.5,11,56,67,67,32,17,8,56,503,0,0,43
Dean Wade,CLE,28,51,42,9,1088.2,278,98,237,41.4,69,194,35.6,13,25,52,48,184,232,68,19,38,18,91,807,1,0,250
Bruce Brown,NOP,28,35,14,21,757.1,277,105,250,42,23,70,32.9,44,53,83,34,93,127,69,34,29,4,60,598,0,0,-196
Neemias Queta,BOS,25,55,41,14,765.6,271,115,178,64.6,0,3,0,41,55,74.5,79,131,210,35,36,15,35,97,690,0,0,161
Talen Horton-Tucker,CHI,24,50,20,30,553.7,270,98,223,43.9,35,96,36.5,39,57,68.4,15,69,84,64,33,17,10,49,515,0,0,-25
Vasilije Mici?,PHX,31,38,8,30,771.4,269,95,273,34.8,45,125,36,34,41,82.9,20,69,89,127,74,15,0,44,537,1,0,-118
Lonzo Ball,CHI,27,35,16,19,777,267,89,243,36.6,67,195,34.4,22,27,81.5,25,93,118,115,41,47,17,55,732,0,0,100
Eric Gordon,PHI,36,39,12,27,768.5,266,87,204,42.6,56,137,40.9,36,48,75,8,38,46,65,28,26,12,32,505,0,0,-72
Svi Mykhailiuk,UTA,27,29,5,24,582.9,265,94,244,38.5,56,166,33.7,21,26,80.8,15,54,69,55,43,17,6,38,456,0,0,-20
Nicolas Batum,LAC,36,69,39,30,1225.7,264,88,212,41.5,73,178,41,15,18,83.3,45,150,195,81,30,47,33,100,830,0,0,108
Tidjane Salaün,CHA,19,49,11,38,939.4,259,84,258,32.6,45,154,29.2,46,64,71.9,57,150,207,53,45,27,12,60,659,1,0,-227
Drew Eubanks,LAC,28,52,16,36,687.6,258,105,177,59.3,3,6,50,45,69,65.2,55,151,206,50,36,11,36,56,685,0,0,-137
Kyle Anderson,MIA,31,50,23,27,745.6,258,101,224,45.1,22,60,36.7,34,48,70.8,42,114,156,110,28,31,24,61,747,1,0,-99
Isaac Okoro,CLE,24,45,37,8,842.4,254,91,206,44.2,45,122,36.9,27,37,73,38,57,95,58,21,26,16,86,560,0,0,206
Ben Simmons,LAC,28,43,19,24,1003.5,248,112,208,53.8,0,0,0,24,33,72.7,41,172,213,265,95,36,22,97,980,1,0,-66
KJ Martin,UTA,24,38,11,27,803.5,245,98,172,57,14,46,30.4,35,45,77.8,29,87,116,39,22,16,22,95,535,0,0,-93
Jeff Dowtin Jr.,PHI,27,38,9,29,534.4,242,95,194,49,23,58,39.7,29,39,74.4,12,47,59,69,14,20,11,26,495,0,0,-112
Jabari Walker,POR,22,51,19,32,595.7,241,91,178,51.1,23,60,38.3,36,54,66.7,50,127,177,31,25,28,6,73,577,1,0,4
